species,latitude,longitude,date_time,wind_speed,temperature,pressure,humidity
otter,-1.9448169242036466,30.015161325912963,2025-02-27T06:44:13,5.240405881543789,17.786077865979642,1010.2621577451619,58.78495826296324
muledeer,-1.9879102112323475,30.027267447204267,2025-02-27T12:20:54,10.857192826433643,19.490829798347157,1015.6269665521385,62.99629953415754
turkey,-1.9071577428308866,30.033054583812934,2025-02-27T11:36:19,9.800054410511482,26.991441212470296,1008.9350772539569,52.727912302423775
turkey,-1.9290077449730747,30.10909223561566,2025-02-27T04:46:54,12.782253192908364,16.185598907195065,1015.9787942113999,71.75498851391936
turkey,-1.9569230874821169,30.063115855196692,2025-02-27T06:39:15,13.802376617789726,22.29943154088185,1019.4535795465168,79.3688650222957
elephant,-1.9017750616972289,30.015625665703613,2025-02-27T21:29:17,7.817078838990597,24.9643969968344,1013.9542334721419,65.42883128696486
turkey,-1.919721217645417,30.008513333171695,2025-02-27T22:59:19,14.923255568319098,29.958233837450813,1009.2109888852372,65.37391470660805
horse,-1.9227517851266507,30.090695502912688,2025-02-27T16:09:43,14.758898948048998,28.461316433303917,1019.6670387075745,61.277103266711805
turkey,-1.976307009390965,30.115518308202855,2025-02-27T14:20:10,10.905706575588507,22.011300243877113,1017.6949934123367,66.93714500939335
turkey,-1.9589689265070105,30.00196708726377,2025-02-27T19:24:40,12.451105659720792,16.12871504087242,1013.1354512458644,78.14987360196608
muledeer,-1.9487489506472906,30.031894018219138,2025-02-27T11:35:01,14.869800034658372,15.205306253250676,1012.5800678580059,71.42739731740433
muledeer,-1.9244210304979983,30.10426712813741,2025-02-27T17:15:06,9.917625443830268,15.189160201744608,1011.0319808699043,58.360428508547045
turkey,-1.9748954707137176,30.01960505754649,2025-02-27T23:42:24,11.463055071027075,28.377861291376696,1016.4466823844929,76.92094247076832
muledeer,-1.9252079960758481,30.07698634390688,2025-02-27T20:46:32,14.737890262769266,25.902099781952074,1008.7030175839074,69.49761815933948
elephant,-1.9538244996161915,30.060586680088402,2025-02-27T07:49:22,1.151807094602722,15.62518580759767,1011.7630571492094,53.27737423812183
horse,-1.9102037410234576,30.032119189988503,2025-02-27T22:33:13,14.988366146442484,22.58997608047129,1017.6260081470178,54.228353289996235
lion,-1.9863353075784242,30.054562852289756,2025-02-27T05:54:41,7.141214235641745,17.359351089782802,1015.1476089174746,63.95031511447664
turkey,-1.9063564996602433,30.011799997882793,2025-02-27T14:00:40,7.113024045404694,18.94230441846394,1012.6334732753905,76.9476825695917
elephant,-1.9682621737028867,30.124579877433042,2025-02-27T17:33:29,8.757985109189578,17.74062174632916,1011.5079494718872,75.97474325104281
turkey,-1.9136322165704114,30.054797860527284,2025-02-27T21:18:13,12.945537137590868,25.41483266999326,1005.4979272947568,66.42393024037241
muledeer,-1.9424276740002409,30.055886289605183,2025-02-27T14:00:28,2.905484482132259,22.53745062083988,1010.3179051840341,62.54701055617394
elephant,-1.9576385759817019,30.08634117421334,2025-02-27T17:52:55,1.8975981804617499,17.07133186887517,1005.1602970838895,55.91806298145319
muledeer,-1.9570223023347244,30.002140850232024,2025-02-27T13:53:22,8.951568319212765,29.44716505835445,1005.9264628197169,58.3703904831505
muledeer,-1.9526092949655625,30.09364684289192,2025-02-27T11:41:46,2.3364781146996823,24.324571132322077,1015.6846112879518,65.07909941180297
horse,-1.9009766403048611,30.117977472699835,2025-02-27T12:09:16,4.542450504395537,22.687179487539584,1019.2610881170549,78.6866507950412
turkey,-1.9402589924421638,30.04972666687818,2025-02-27T00:51:10,0.6882403592887398,25.065254657851728,1014.5045534282898,77.5946340467436
otter,-1.9200827449559228,30.14409748744089,2025-02-27T16:20:39,1.4473816903032344,18.29596664609506,1017.2761318451402,67.11787133317743
elephant,-1.9406661991831644,30.043129828291143,2025-02-27T14:05:39,7.296372924862586,16.435378979244074,1006.946402481735,54.3263315874896
lion,-1.942866045035116,30.0382217444435,2025-02-27T01:02:11,3.5771531429152197,26.042791255809487,1019.1303112237574,67.22298907552823
turkey,-1.9602315795991008,30.107121070107432,2025-02-27T12:17:08,8.04633420133975,22.914365896772196,1007.0345023653983,60.52250548778436
elephant,-1.9336762394786913,30.01060173001289,2025-02-27T03:43:37,7.2260563516516205,27.296667659056805,1009.5278396266251,60.43659620323595
